Japonia I: od pionierów do Astro Boya	Noburō Ōfuji	Bagudajō no tōzoku	1926	full	60	2400	Baguda-jo no Tozoku 1926 Noburo Ofuji silhouette animation
Japonia I: od pionierów do Astro Boya	Noburō Ōfuji	Bagudajō no tōzoku	1926	full	60	2400	馬具田城の盗賊 大藤信郎 1926
Japonia I: od pionierów do Astro Boya	Kenzō Masaoka	Kumo to chūrippu	1943	full	60	2400	Kumo to Tulip 1943 The Spider and the Tulip Kenzo Masaoka
Japonia I: od pionierów do Astro Boya	Kenzō Masaoka	Kumo to chūrippu	1943	full	60	2400	くもとちゅうりっぷ 1943 政岡憲三
Chiny i szkoła szanghajska	Te Wei	The Cowherd's Flute	1963	full	300	1800	The Cowboy's Flute 1963 Chinese ink wash animation classic
Chiny i szkoła szanghajska	Te Wei	The Cowherd's Flute	1963	full	300	1800	牧笛 1963 水墨动画
Chiny i szkoła szanghajska	Te Wei	Where Is Mama	1960	full	300	1500	小蝌蚪找妈妈 1960 水墨动画
Estonia, Węgry i inne szkoły Wschodu	Rein Raamat	Põrgu	1983	full	300	2400	Porgu Hell 1983 Rein Raamat Tallinnfilm animated film
Estonia, Węgry i inne szkoły Wschodu	Rein Raamat	Põrgu	1983	full	300	2400	Rein Raamat Hell animation Juri Arrak
Estonia, Węgry i inne szkoły Wschodu	Todor Dinov	Margaritka	1965	full	60	900	Маргаритка 1965 Тодор Динов анимация
Estonia, Węgry i inne szkoły Wschodu	Todor Dinov	Margaritka	1965	full	60	900	The Daisy 1965 Todor Dinov Bulgarian animation
Estonia, Węgry i inne szkoły Wschodu	Sándor Reisenbüchler	The Kidnapping of the Sun and Moon	1968	full	300	1800	A Nap es a Hold elrablasa 1968 Reisenbuchler
Estonia, Węgry i inne szkoły Wschodu	Sándor Reisenbüchler	The Kidnapping of the Sun and Moon	1968	full	300	1800	Kidnapping of the Sun and Moon Hungarian animation 1968
